ml_1,mAU_1,ml_2,mAU_2
0.359682,0.375061,0.35978,0.388224
0.360307,0.374952,0.360404,0.388172
0.360931,0.374716,0.361029,0.388352
0.361556,0.37392,0.361653,0.387995
0.36218,0.374678,0.362278,0.387055
0.362805,0.374902,0.362902,0.386751
0.36343,0.374779,0.363527,0.386777
0.364054,0.374953,0.364151,0.386889
0.364679,0.374629,0.364776,0.386356
0.365303,0.374468,0.365401,0.385901
0.365928,0.373995,0.366025,0.386083
0.366552,0.373332,0.36665,0.386139
0.367177,0.372881,0.367274,0.385753
0.367801,0.373069,0.367899,0.385837
0.368426,0.373678,0.368523,0.385539
0.36905,0.374535,0.369148,0.385291
0.369675,0.375295,0.369772,0.384209
0.3703,0.375506,0.370397,0.383364
0.370924,0.375275,0.371021,0.384059
0.371549,0.374951,0.371646,0.384636
0.372173,0.374886,0.372271,0.384642
0.372798,0.375397,0.372895,0.385164
0.373422,0.375143,0.37352,0.385797
0.374047,0.374374,0.374144,0.385266
0.374671,0.37466,0.374769,0.38527
0.375296,0.374822,0.375393,0.385647
0.37592,0.374579,0.376018,0.385079
0.376545,0.374253,0.376642,0.384292
0.37717,0.374553,0.377267,0.383949
0.377794,0.375286,0.377891,0.383378
0.378419,0.374724,0.378516,0.383111
0.379043,0.373365,0.379141,0.38222
0.379668,0.372862,0.379765,0.38215
0.380292,0.373271,0.38039,0.382246
0.380917,0.373313,0.381014,0.381637
0.381541,0.373464,0.381639,0.381014
0.382166,0.374304,0.382263,0.380592
0.38279,0.374079,0.382888,0.38038
0.383415,0.372729,0.383512,0.380268
0.384039,0.371574,0.384137,0.380415
0.384664,0.371268,0.384761,0.380502
0.385289,0.371938,0.385386,0.380124
0.385913,0.372301,0.386011,0.380256
0.386538,0.372187,0.386635,0.380083
0.387162,0.372002,0.38726,0.380789
0.387787,0.371675,0.387884,0.381516
0.388411,0.371366,0.388509,0.382118
0.389036,0.371517,0.389133,0.382053
0.38966,0.37169,0.389758,0.381745
0.390285,0.371305,0.390382,0.381156
0.390909,0.37061,0.391007,0.38061
0.391534,0.370497,0.391631,0.380577
0.392159,0.370796,0.392256,0.38105
0.392783,0.370726,0.392881,0.381421
0.393408,0.369742,0.393505,0.381549
0.394032,0.369286,0.39413,0.381321
0.394657,0.369062,0.394754,0.380904
0.395281,0.368823,0.395379,0.380752
0.395906,0.369183,0.396003,0.38043
0.39653,0.369213,0.396628,0.381008
0.397155,0.36902,0.397252,0.380896
0.397779,0.368854,0.397877,0.380203
0.398404,0.3687,0.398501,0.380222
0.399029,0.368812,0.399126,0.380412
0.399653,0.368549,0.399751,0.380299
0.400278,0.367213,0.400375,0.380163
0.400902,0.366407,0.401,0.380376
0.401527,0.366313,0.401624,0.380912
0.402151,0.365476,0.402249,0.380858
0.402776,0.365284,0.402873,0.380545
0.4034,0.365234,0.403498,0.380198
0.404025,0.36494,0.404122,0.379929
0.404649,0.365721,0.404747,0.378941
0.405274,0.366293,0.405372,0.378757
0.405899,0.36594,0.405996,0.378767
0.406523,0.366024,0.406621,0.378132
0.407148,0.366225,0.407245,0.378214
0.407772,0.365868,0.40787,0.37834
0.408397,0.365935,0.408494,0.378163
0.409021,0.365205,0.409119,0.378333
0.409646,0.364685,0.409743,0.378249
0.41027,0.36486,0.410368,0.378299
0.410895,0.365131,0.410992,0.377624
0.411519,0.36486,0.411617,0.377037
0.412144,0.364418,0.412242,0.377061
0.412769,0.364395,0.412866,0.377648
0.413393,0.36434,0.413491,0.378282
0.414018,0.364491,0.414115,0.37847
0.414642,0.364486,0.41474,0.378928
0.415267,0.364641,0.415364,0.379157
0.415891,0.365042,0.415989,0.379493
0.416516,0.364611,0.416613,0.379651
0.41714,0.364445,0.417238,0.380066
0.417765,0.364562,0.417862,0.379736
0.418389,0.364174,0.418487,0.378952
